32,226,1,2,1,3,1,2,1,1,4,1,2,3,3,1,1,1,3,227
32,258,33,34,65,34,35,35,65,35,36,35,34,33,34,34,66,101,34,259
32,129,130,130,130,130,130,130,130,130,130,130,163,163,130,130,130,130,130,130
32,129,129,130,130,129,130,130,129,129,131,163,163,129,129,129,129,131,130,130
32,129,129,129,129,129,129,131,129,129,129,129,129,129,129,129,161,131,131,130
32,129,130,129,129,129,129,129,129,129,129,129,129,129,129,129,131,131,130,130
32,129,130,129,131,131,131,129,129,129,129,129,129,129,129,163,130,130,129,129
32,129,130,129,130,163,163,163,129,129,194,129,129,129,129,294,130,130,129,129
32,129,163,129,129,129,129,129,129,129,129,129,129,353,129,129,129,129,129,129
32,129,129,129,129,294,129,129,129,129,129,129,129,129,129,355,129,129,129,129
32,129,129,129,129,129,129,356,129,129,129,129,161,129,129,129,129,129,129,129
32,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129
32,129,129,129,129,161,129,129,129,129,194,129,129,161,129,357,129,129,129,129
32,129,129,129,129,129,129,129,129,355,129,129,161,161,129,129,129,129,129,129
32,129,129,129,129,129,129,129,129,129,129,129,161,129,129,129,129,129,129,129
32,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129
64,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129
96,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129
96,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129
96,129,129,129,129,129,129,129,129,129,129,129,355,129,129,129,129,129,129,129
